pair_id,temperature_point_id,precipitation_point_id,temperature_latitude,temperature_longitude,temperature_elevation_m,precipitation_latitude,precipitation_longitude,precipitation_elevation_m,distance_km
PAIR044,T044,P044,39.500000,-79.250000,684.352112,39.000000,-79.000000,564.519104,59.619595
PAIR045,T045,P045,38.500000,-87.750000,132.631866,38.000000,-87.500000,128.289703,59.729920
PAIR046,T046,P046,34.750000,-103.750000,1431.840698,35.250000,-104.000000,1354.710693,60.080077
PAIR047,T047,P047,48.500000,-97.250000,239.510864,48.000000,-97.000000,252.793076,58.597965
PAIR048,T048,P048,44.750000,-84.750000,395.367706,44.750000,-84.000000,317.264618,59.226630
PAIR049,T049,P049,47.750000,-122.500000,32.593723,47.250000,-122.750000,39.074100,58.683780
PAIR050,T050,P050,38.750000,-98.000000,463.287201,38.250000,-98.250000,521.342102,59.702439
PAIR051,T051,P051,32.750000,-83.750000,135.669907,33.250000,-84.000000,211.026535,60.287822
PAIR052,T052,P052,36.000000,-85.250000,472.840271,35.500000,-85.500000,493.351288,60.000548
PAIR053,T053,P053,39.750000,-118.500000,1188.185425,39.250000,-118.250000,1555.943726,59.591853
PAIR054,T054,P054,29.000000,-102.250000,1492.414185,29.500000,-102.500000,954.840149,60.657653
PAIR055,T055,P055,35.750000,-119.750000,138.354233,36.250000,-120.000000,38.271072,59.973857
PAIR056,T056,P056,42.000000,-94.250000,319.969666,41.500000,-94.500000,375.194855,59.339724
PAIR057,T057,P057,37.250000,-121.750000,441.733734,37.750000,-121.500000,180.921005,59.811934
PAIR058,T058,P058,45.000000,-67.250000,42.149181,45.000000,-68.000000,110.157883,58.969886
PAIR059,T059,P059,31.750000,-97.250000,176.606735,32.250000,-97.500000,238.642517,60.389111
PAIR060,T060,P060,43.000000,-108.250000,1650.871338,42.500000,-108.000000,2076.216797,59.226498
PAIR061,T061,P061,40.500000,-115.250000,2032.245605,40.000000,-115.000000,2084.876465,59.508277
PAIR062,T062,P062,40.250000,-85.750000,269.246765,39.750000,-85.500000,294.516998,59.536192
PAIR063,T063,P063,35.250000,-112.500000,1732.386841,35.750000,-112.250000,1796.539429,60.027150
PAIR064,T064,P064,45.750000,-119.250000,323.191345,45.250000,-119.500000,991.793274,58.912806
PAIR065,T065,P065,45.750000,-70.250000,473.264069,45.250000,-70.000000,392.988129,58.912806
PAIR066,T066,P066,45.000000,-99.250000,510.726685,44.500000,-99.000000,505.221436,58.998593
PAIR067,T067,P067,35.500000,-92.500000,267.080658,36.000000,-92.250000,271.252716,60.000548
PAIR068,T068,P068,45.500000,-118.000000,1163.050659,45.000000,-118.250000,1546.843994,58.941414
PAIR069,T069,P069,39.250000,-77.250000,137.418167,38.750000,-77.000000,51.903008,59.647274
PAIR070,T070,P070,30.500000,-90.250000,20.147213,31.000000,-90.500000,95.329773,60.513073
PAIR071,T071,P071,34.750000,-119.250000,1324.198120,35.250000,-119.000000,98.083405,60.080077
PAIR072,T072,P072,42.750000,-122.750000,896.526306,42.250000,-123.000000,795.567688,59.254859
PAIR073,T073,P073,38.000000,-111.750000,2684.865234,37.500000,-111.500000,1765.558716,59.784669
PAIR074,T074,P074,33.000000,-113.250000,232.723389,33.500000,-113.000000,431.337402,60.262220
PAIR075,T075,P075,44.500000,-70.500000,297.237152,44.500000,-69.750000,80.898399,59.482247
PAIR076,T076,P076,35.500000,-81.000000,239.279449,36.000000,-81.250000,414.690552,60.000548
PAIR077,T077,P077,45.750000,-111.500000,1546.835938,45.250000,-111.750000,1976.222900,58.912806
PAIR078,T078,P078,37.250000,-92.500000,422.543152,36.750000,-92.250000,308.031403,59.866233
PAIR079,T079,P079,48.750000,-121.750000,1016.079651,48.250000,-122.000000,328.474335,58.569386
PAIR080,T080,P080,45.000000,-93.250000,273.031647,44.500000,-93.000000,300.074432,58.998593
PAIR081,T081,P081,31.750000,-98.500000,436.749878,32.250000,-98.750000,451.504303,60.389111
PAIR082,T082,P082,35.000000,-100.250000,646.782715,35.500000,-100.500000,837.319458,60.053660
PAIR083,T083,P083,33.250000,-79.250000,3.882739,33.750000,-79.500000,15.593542,60.236510
PAIR084,T084,P084,34.000000,-111.500000,1116.685059,34.500000,-111.250000,1955.014771,60.158747
PAIR085,T085,P085,43.250000,-101.250000,878.603210,43.250000,-100.500000,763.239502,60.743248
PAIR086,T086,P086,39.750000,-122.250000,124.776466,39.250000,-122.000000,2.340418,59.591853
PAIR087,T087,P087,47.750000,-107.000000,775.617126,47.250000,-107.250000,909.196289,58.683780
PAIR088,T088,P088,32.750000,-105.500000,2168.078125,33.250000,-105.750000,2082.204834,60.287822
PAIR089,T089,P089,37.250000,-103.750000,1697.989380,36.750000,-103.500000,1720.888794,59.866233
PAIR090,T090,P090,48.750000,-122.250000,436.488586,48.250000,-122.500000,41.881107,58.569386
PAIR091,T091,P091,34.500000,-119.500000,639.232422,35.000000,-119.250000,665.890442,60.106398
PAIR092,T092,P092,40.000000,-100.250000,762.197083,39.500000,-100.000000,742.908508,59.564052
PAIR093,T093,P093,40.750000,-79.750000,360.310181,40.250000,-80.000000,332.014679,59.480308
PAIR094,T094,P094,43.750000,-115.250000,2072.520020,43.750000,-116.000000,1316.801514,60.242283
PAIR095,T095,P095,45.500000,-123.000000,166.758896,45.000000,-123.250000,157.719681,58.941414
PAIR096,T096,P096,43.250000,-79.250000,121.601807,43.250000,-78.500000,150.529877,60.743248
PAIR097,T097,P097,41.250000,-91.250000,197.771011,40.750000,-91.500000,203.987701,59.424215
PAIR098,T098,P098,37.250000,-115.250000,1374.940918,36.750000,-115.000000,1201.390747,59.866233
PAIR099,T099,P099,41.250000,-113.000000,1328.580811,40.750000,-113.250000,1374.727417,59.424215
PAIR100,T100,P100,38.500000,-76.000000,2.739541,38.000000,-75.750000,6.788531,59.729920
